expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
yucitongshi,(bingqie) yucitongshi,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"chinese-ev-6,chinese-ev-7",neither,
bingqie,bingqie + (hai/ye),conj-contrast-sta,1,0,1,1,0,1,0,0,1,"chinese-ev-44,chinese-ev-45",neither,
bingqie,bingqie + (hai/ye),conj-nocontrast-epi,1,0,0,0,0,1,0,0,?,"chinese-ev-4,chinese-ev-5",neither,Conflicting evidence found.
bingqie,bingqie + (hai/ye),disj-spk,0,0,0,1,0,1,0,0,0,"chinese-ev-51,chinese-ev-52",neither,
buguo,buguo,conj-contrast-epi,1,0,1,0,0,1,0,0,1,chinese-ev-14,neither,
buguo,buguo,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-18,neither,
buguo,buguo,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-59,neither,
buguo,buguo,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-64,neither,
danshi,danshi,conj-contrast-epi,1,0,1,0,0,1,0,0,?,chinese-ev-13,neither,Conflicting evidence found.
danshi,danshi,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-17,neither,
danshi,danshi,conj-contrast-sta,1,0,1,1,0,1,0,0,1,chinese-ev-12,neither,
danshi,danshi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-58,neither,
danshi,danshi,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-63,neither,
er,er,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,?,chinese-ev-74,neither,Conflicting evidence found.
er,er,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,?,chinese-ev-16,neither,Conflicting evidence found.
er,er,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-62,neither,
er,er,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-67,neither,
er,er,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-21,neither,
erqie,erqie + (hai/ye),conj-contrast-sta,1,0,1,1,0,1,0,0,1,"chinese-ev-41,chinese-ev-42,chinese-ev-43",neither,
erqie,erqie + (hai/ye),conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,"chinese-ev-1,chinese-ev-2",neither,
erqie,erqie + (hai/ye),disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,chinese-ev-54,neither,
erqie,erqie + (hai/ye),disj-spk,0,0,0,1,0,1,0,0,0,"chinese-ev-48,chinese-ev-49,chinese-ev-50",neither,
hai,juxtaposition + hai,conj-contrast-sta,1,0,1,1,0,1,0,0,1,chinese-ev-39,neither,
hai,juxtaposition + hai,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-3,neither,
hai,juxtaposition + hai,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,0,chinese-ev-53,neither,
hai,juxtaposition + hai,disj-nspk-sta-inc,-1,0,0,1,0,0,0,0,0,chinese-ev-55,neither,
hai,juxtaposition + hai,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-46,neither,
hai,juxtaposition + hai,neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-56,neither,
haishi,haishi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,chinese-ev-79,neither,
haishi,haishi,disj-nspk-q,0,0,1,0,0,0,1,0,1,"chinese-ev-31,chinese-ev-33",neither,
haishi,haishi,fc,0,0,0,0,0,0,0,1,0,chinese-ev-38,neither,
huozhe,huozhe,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,chinese-ev-78,neither,
huozhe,huozhe,disj-nspk-epi-exc,0,0,1,0,0,0,0,0,1,chinese-ev-26,neither,
huozhe,huozhe,disj-nspk-q,0,0,1,0,0,0,1,0,0,"chinese-ev-32,chinese-ev-34",neither,
huozhe,huozhe,disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"chinese-ev-29,chinese-ev-81",neither,
huozhe,huozhe,disj-nspk-sta-inc,-1,0,0,1,0,0,0,0,1,"chinese-ev-30,chinese-ev-83",neither,
huozhe,huozhe,disj-spk,0,0,0,1,0,1,0,0,1,chinese-ev-24,neither,
huozhe,huozhe,fc,0,0,0,0,0,0,0,1,1,chinese-ev-37,neither,
huozhe,huozhe,neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-85,neither,
juxtaposition,juxtaposition,conj-contrast-epi,1,0,1,0,0,1,0,0,1,chinese-ev-68,neither,
juxtaposition,juxtaposition,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-69,neither,
juxtaposition,juxtaposition,conj-contrast-sta,1,0,1,1,0,1,0,0,0,chinese-ev-40,neither,
juxtaposition,juxtaposition,conj-nocontrast-epi,1,0,0,0,0,1,0,0,1,"chinese-ev-8,chinese-ev-9,chinese-ev-10,chinese-ev-11",neither,
juxtaposition,juxtaposition,disj-spk,0,0,0,1,0,1,0,0,0,"chinese-ev-47,chinese-ev-75,chinese-ev-76",neither,
juxtaposition,juxtaposition,neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-87,neither,
keshi,keshi,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-73,neither,
keshi,keshi,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-61,neither,
keshi,keshi,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-66,neither,
keshi,keshi,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-20,neither,
ye,NEG ye NEG,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-36,below,
ye,NEG ye NEG,neither-sta,0,1,0,1,0,0,0,0,1,chinese-ev-35,below,
qishi,qishi,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,1,chinese-ev-15,neither,
ran'er,ran'er,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,1,chinese-ev-72,neither,
ran'er,ran'er,conj-nocontrast-sta,1,0,0,1,0,1,0,0,1,chinese-ev-60,neither,
ran'er,ran'er,disj-spk,0,0,0,1,0,1,0,0,0,chinese-ev-65,neither,
ran'er,ran'er,neither-epi,0,1,0,0,1,0,0,0,1,chinese-ev-19,neither,
yaome,"Yaome P, yaome Q",conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,chinese-ev-77,neither,
yaome,"Yaome P, yaome Q",disj-nspk-epi-exc,0,0,1,0,0,0,0,0,1,chinese-ev-25,neither,
yaome,"Yaome P, yaome Q",disj-nspk-q,0,0,1,0,0,0,1,0,1,chinese-ev-86,neither,
yaome,"Yaome P, yaome Q",disj-nspk-sta-exc,0,0,0,1,0,0,0,0,1,"chinese-ev-27,chinese-ev-28,chinese-ev-80",neither,
yaome,"Yaome P, yaome Q",disj-nspk-sta-inc,-1,0,0,1,0,0,0,0,0,chinese-ev-82,neither,
yaome,"Yaome P, yaome Q",disj-spk,0,0,0,1,0,1,0,0,1,"chinese-ev-22,chinese-ev-23",neither,
yaome,"Yaome P, yaome Q",fc,0,0,0,0,0,0,0,1,1,chinese-ev-88,neither,
yaome,"Yaome P, yaome Q",neither-sta,0,1,0,1,0,0,0,0,0,chinese-ev-84,neither,
